district-name,gov-2008:democrat,gov-2008:republican,gov-2008:libertarian,race:white,race:black,race:native-american,race:asian-pacific-islander,race:other,race:multirace,ethnicity:hispanic,ethnicity:non-hispanic,us-senate-2008:democrat,us-senate-2008:republican,us-senate-2008:libertarian,us-senate-2010:democrat,us-senate-2010:republican,us-senate-2010:libertarian,party-affiliation:democrat,party-affiliation:republican,party-affiliation:unaffiliated,party-affiliation:libertarian,pres-2008:democrat,pres-2008:republican,pres-2008:libertarian,age:18-25,age:26-40,age:41-65,age:66+,gender:male,gender:female,gender:undesignated,normal-votes:democrat,normal-votes:republican
"Congressional District 1",235050,96040,7960,332010,332410,6100,13500,34240,13260,58460,672750,232940,99890,6300,132200,73320,2930,311840,74860,82210,550,230300,110180,1240,60930,124470,202990,81320,202990,260810,5700,233750,108740
"Congressional District 10",135350,186150,8130,600480,88200,2430,10570,19220,13370,41480,692960,152750,164300,12570,75530,123930,4880,184410,169130,116910,660,138440,190510,2250,46380,112870,219530,92440,213400,254150,3810,142160,190140
"Congressional District 11",154820,169940,11530,657950,23430,10960,8350,20190,12520,41220,692120,155370,168140,13390,86520,139160,6550,184890,181900,133500,740,140900,193410,2790,47620,109830,223360,120170,231460,266250,3390,147590,191430
"Congressional District 12",169270,124080,6230,349860,270180,3700,34250,54070,20200,102260,629510,201510,88650,8530,97370,61230,2790,235910,108290,115440,760,206240,94610,1250,51120,161330,195970,51530,201870,249940,8700,189300,113770
"Congressional District 13",160340,169650,9990,509350,155730,3400,21100,27420,14740,52360,679530,175150,153460,10780,76870,117860,4220,203050,178300,110400,820,163710,175730,2070,56860,124210,220920,90580,222420,268070,1610,160790,181970
"Congressional District 2",153440,175770,9930,526220,142650,4690,13410,32520,16380,64940,671740,159430,170040,9620,87050,132120,4780,190180,165310,108450,720,153090,184620,2170,46560,124810,227730,65490,215080,248100,2370,152810,188780
"Congressional District 3",166830,132070,7850,524290,158060,3530,9830,20350,18110,47970,686500,139730,159080,8540,71860,120570,3760,203990,140230,110900,620,132100,176590,1590,50590,110220,204570,90150,205270,246820,3560,141890,169190
"Congressional District 4",211630,131730,14530,455050,166960,3540,50280,36580,19420,75320,656100,231410,117160,10270,129470,85450,5080,228110,112740,134700,1090,238580,120670,2310,68290,154900,197750,55640,215560,256020,4170,222540,139970
"Congressional District 5",160790,167100,10500,567270,104150,2460,8930,38320,12510,64660,668680,164460,162350,11970,75980,129280,4780,180920,186340,104580,830,151900,184860,2630,57040,110250,211630,93610,215350,254120,3210,151290,189670
"Congressional District 6",159330,157210,11110,524090,145880,4200,9590,35470,14440,67560,666340,163270,153810,11000,78870,119970,4900,203070,155470,101890,670,149790,177630,2380,46480,107510,216400,90860,208020,251230,2130,152860,177790
"Congressional District 7",161920,148390,10300,516670,151550,6840,5950,39690,14040,65200,669180,163130,147440,10780,83970,129490,3880,205960,151100,107630,770,144960,177390,1650,47430,113400,209150,95530,209320,250240,6110,155340,169520
"Congressional District 8",138930,162840,7080,491710,165850,9310,14780,29770,21980,66130,666980,151670,146850,10300,71650,108310,3620,181820,154510,107620,600,141290,167770,1780,50150,117630,197040,79170,200720,239840,3960,141720,169710
"Congressional District 9",130590,175980,5800,473430,143410,60670,15240,26030,15680,52600,682200,149680,152710,8880,74330,113200,3580,210080,150040,106070,490,142200,170310,1570,49050,118800,223030,76460,210320,252560,3790,142740,172190
