district-name,gov-2010:democrat,gov-2010:republican
"Congressional District 5",123160,69130
"Congressional District 8",100510,136930
"Congressional District 25",45880,79440
"Congressional District 20",111640,27500
"Congressional District 17",88450,119230
"Congressional District 3",91540,114040
"Congressional District 2",97480,130220
"Congressional District 24",112790,22020
"Congressional District 27",80680,77740
"Congressional District 26",67990,65800
"Congressional District 11",103060,145380
"Congressional District 15",80850,97260
"Congressional District 1",69740,146770
"Congressional District 9",76260,76940
"Congressional District 18",105780,109380
"Congressional District 21",124880,74520
"Congressional District 12",99230,115700
"Congressional District 13",115580,94640
"Congressional District 22",106300,84340
"Congressional District 6",102730,116080
"Congressional District 23",103210,62930
"Congressional District 16",101770,120530
"Congressional District 14",96040,73450
"Congressional District 4",85530,154580
"Congressional District 19",79340,136530
"Congressional District 10",87690,66600
"Congressional District 7",98210,99570
