district-name,normal-votes:democrat,normal-votes:republican,gov-2010:democrat,gov-2010:republican,pres-2008:democrat,pres-2008:republican
"Congressional District 10",101800,158640,75050,101820,112830,148290
"Congressional District 17",97120,136190,62710,85300,96270,136780
"Congressional District 7",81530,158110,71430,95740,98130,141600
"Congressional District 26",74630,184960,44110,94230,91220,168290
"Congressional District 25",114180,160590,74750,98500,119320,155640
"Congressional District 3",77490,189810,47720,90160,101190,166080
"Congressional District 20",107560,86230,59340,43060,114420,79770
"Congressional District 28",92610,65110,55100,38660,92740,65210
"Congressional District 35",103690,66780,55310,33700,109940,60140
"Congressional District 21",117260,198000,83120,123110,134630,180380
"Congressional District 23",93790,97670,55430,62660,96500,95150
"Congressional District 4",92480,165480,53580,104200,76370,181440
"Congressional District 19",70360,164930,38970,94340,66090,169230
"Congressional District 14",110760,130470,68870,91680,102540,138800
"Congressional District 36",86390,152400,54130,107790,71840,167010
"Congressional District 8",60070,172110,46330,120110,61290,170700
"Congressional District 27",98840,129200,60220,85760,92470,135300
"Congressional District 34",88170,58370,47580,36110,88840,57670
"Congressional District 9",134040,52850,87790,25600,142860,43810
"Congressional District 22",82130,152890,62980,98110,92240,142670
"Congressional District 30",165220,58100,98360,26830,176040,47390
"Congressional District 2",78550,161900,64830,103120,90130,150390
"Congressional District 18",144120,51520,93660,28540,151040,44930
"Congressional District 29",71200,38400,46570,21540,68840,40400
"Congressional District 31",86700,151900,53100,84670,103160,135370
"Congressional District 1",87290,170620,51750,109300,78870,178890
"Congressional District 11",64510,175210,36970,111910,56090,183480
"Congressional District 5",84050,134780,51170,77530,83030,135810
"Congressional District 24",86030,170450,52750,88250,105130,151040
"Congressional District 33",85510,41940,43090,19480,87930,39830
"Congressional District 32",100480,163280,67630,88950,117420,146830
"Congressional District 6",99990,158550,59900,81620,110080,148390
"Congressional District 12",84450,165270,50670,90260,89970,159580
"Congressional District 13",65380,181040,36550,106310,55400,191080
"Congressional District 15",82090,63910,45530,37230,84500,61730
"Congressional District 16",102720,64970,49220,31150,109030,58770
